search URL:,https://patents.google.com/?inventor=ravi+kumar+alluboyina&litigation=NO&oq=ravi+kumar+alluboyina
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11099937-B2,Implementing clone snapshots in a distributed storage system ,"Robin Systems, Inc.","Ravi Kumar Alluboyina, Shravan Kumar Vallala, Manjunath Mageswaran, Tushar Doshi",2018-01-11,2018-01-11,2021-08-24,2021-08-24,https://patents.google.com/patent/US11099937B2/en,https://patentimages.storage.googleapis.com/ab/b3/25/574606dc2f3e31/US11099937-20210824-D00000.png
US-2020310915-A1,Orchestration of Heterogeneous Multi-Role Applications ,"Robin Systems, Inc.","Ravi Kumar Alluboyina, Tushar Doshi, Partha Sarathi Seetala, Ripulkumar Hemantbhai Patel, Jagadish Kumar Mukku",2019-03-25,2019-03-25,2020-10-01,,https://patents.google.com/patent/US20200310915A1/en,https://patentimages.storage.googleapis.com/87/8d/cd/1f8bdfd3dba71b/US20200310915A1-20201001-D00000.png
US-10846137-B2,Dynamic adjustment of application resources in a distributed computing system ,"Robin Systems, Inc.","Shravan Kumar Vallala, Ravi Kumar Alluboyina",2018-01-12,2018-01-12,2020-11-24,2020-11-24,https://patents.google.com/patent/US10846137B2/en,https://patentimages.storage.googleapis.com/08/83/b5/f84038658787f0/US10846137-20201124-D00000.png
US-10579364-B2,Upgrading bundled applications in a distributed computing system ,"Robin Systems, Inc.","Tushar Doshi, Ravi Kumar Alluboyina, Giridharan Kesavan",2018-01-12,2018-01-12,2020-03-03,2020-03-03,https://patents.google.com/patent/US10579364B2/en,https://patentimages.storage.googleapis.com/e2/63/d1/43820ee78cd19c/US10579364-20200303-D00000.png
US-11113158-B2,Rolling back kubernetes applications ,"Robin Systems, Inc.","Ravi Kumar Alluboyina, Sree Nandan Atur",2019-10-04,2019-10-04,2021-09-07,2021-09-07,https://patents.google.com/patent/US11113158B2/en,https://patentimages.storage.googleapis.com/de/bf/83/f6dac39c43b59b/US11113158-20210907-D00000.png
US-2021064442-A1,Implementing An Application Manifest In A Node-Specific Manner Using An Intent-Based Orchestrator ,"Robin Systems, Inc.","Ravi Kumar Alluboyina, Tushar Doshi, Sree Nandan Atur",2019-08-29,2019-08-29,2021-03-04,,https://patents.google.com/patent/US20210064442A1/en,https://patentimages.storage.googleapis.com/bd/55/fd/c1f2535393f7dc/US20210064442A1-20210304-D00000.png
US-10642694-B2,Monitoring containers in a distributed computing system ,"Robin Systems, Inc.","Manjunath Mageswaran, Ravi Kumar Alluboyina, Giridharan Kesavan",2018-01-12,2018-01-12,2020-05-05,2020-05-05,https://patents.google.com/patent/US10642694B2/en,https://patentimages.storage.googleapis.com/c9/c3/2d/4c61fe5a54dc92/US10642694-20200505-D00000.png
US-10896102-B2,Implementing secure communication in a distributed computing system ,"Robin Systems, Inc.","Tushar Doshi, Ravi Kumar Alluboyina",2018-01-11,2018-01-11,2021-01-19,2021-01-19,https://patents.google.com/patent/US10896102B2/en,https://patentimages.storage.googleapis.com/34/d8/1f/6bba6f69aac7e1/US10896102-20210119-D00000.png
US-2019213085-A1,Implementing Fault Domain And Latency Requirements In A Virtualized Distributed Storage System ,"Robin Systems, Inc.","Ravi Kumar Alluboyina, Shravan Kumar Vallala, Manjunath Mageswaran, Tushar Doshi",2018-01-11,2018-01-11,2019-07-11,,https://patents.google.com/patent/US20190213085A1/en,https://patentimages.storage.googleapis.com/95/3d/e5/bbfc1c7bc79cc0/US20190213085A1-20190711-D00000.png
US-11392363-B2,Implementing application entrypoints with containers of a bundled application ,"Robin Systems, Inc.","Shravan Kumar Vallala, Ravi Kumar Alluboyina",2018-01-11,2018-01-11,2022-07-19,2022-07-19,https://patents.google.com/patent/US11392363B2/en,https://patentimages.storage.googleapis.com/73/78/2a/ee0b21f6a0f033/US11392363-20220719-D00000.png
US-2021406079-A1,Persistent Non-Homogeneous Worker Pools ,"Robin Systems, Inc.","Sree Nandan Atur, Ravi Kumar Alluboyina, Lakshay Badlani, Pragash Vijayaragavan",2020-06-29,2020-06-29,2021-12-30,,https://patents.google.com/patent/US20210406079A1/en,https://patentimages.storage.googleapis.com/d3/b0/1d/a3a1d58375aa9a/US20210406079A1-20211230-D00000.png
US-11347684-B2,Rolling back KUBERNETES applications including custom resources ,"Robin Systems, Inc.","Ravi Kumar Alluboyina, Sree Nandan Atur",2019-10-04,2019-10-04,2022-05-31,2022-05-31,https://patents.google.com/patent/US11347684B2/en,https://patentimages.storage.googleapis.com/eb/ba/49/b4a0f405ba5a4a/US11347684-20220531-D00000.png
US-10628235-B2,Accessing log files of a distributed computing system using a simulated file system ,"Robin Systems, Inc.","Manjunath Mageswaran, Ravi Kumar Alluboyina",2018-01-11,2018-01-11,2020-04-21,2020-04-21,https://patents.google.com/patent/US10628235B2/en,https://patentimages.storage.googleapis.com/48/e4/5f/54c8d27e6a4f4f/US10628235-20200421-D00000.png
US-11528186-B2,Automated initialization of bare metal servers ,"Robin Systems, Inc.","Sree Nandan Atur, Kapil Upadhayay, Ravi Kumar Alluboyina, Lakshay Badlani",2020-06-16,2020-06-16,2022-12-13,2022-12-13,https://patents.google.com/patent/US11528186B2/en,https://patentimages.storage.googleapis.com/16/bc/b3/3b68c51cf3c93f/US11528186-20221213-D00000.png
US-10599622-B2,Implementing storage volumes over multiple tiers ,"Robin Systems, Inc.","Jagadish Kumar Mukku, Ravi Kumar Alluboyina, Dhanashankar VENKATESAN",2018-07-31,2018-07-31,2020-03-24,2020-03-24,https://patents.google.com/patent/US10599622B2/en,https://patentimages.storage.googleapis.com/4d/e9/87/93006664b8e121/US10599622-20200324-D00000.png
US-2019213086-A1,Implementing Containers For A Stateful Application In A Distributed Computing System ,"Robin Systems, Inc.","Shravan Kumar Vallala, Dhanashankar VENKATESAN, Ravi Kumar Alluboyina",2018-01-11,2018-01-11,2019-07-11,,https://patents.google.com/patent/US20190213086A1/en,https://patentimages.storage.googleapis.com/bb/2b/f5/6679f6012e3f45/US20190213086A1-20190711-D00000.png
US-10817380-B2,Implementing affinity and anti-affinity constraints in a bundled application ,"Robin Systems, Inc.","Ravi Kumar Alluboyina, Dhanashankar VENKATESAN",2018-07-31,2018-07-31,2020-10-27,2020-10-27,https://patents.google.com/patent/US10817380B2/en,https://patentimages.storage.googleapis.com/aa/e7/4d/150eb165ebbfe3/US10817380-20201027-D00000.png
US-2024333704-A1,Agentless gitops and custom resources for application orchestration and management ,"Robin Systems, Inc","Sree Nandan Atur, Ravi Kumar Alluboyina",2023-03-30,2023-03-30,2024-10-03,,https://patents.google.com/patent/US20240333704A1/en,https://patentimages.storage.googleapis.com/9b/49/c3/d01b9455280294/US20240333704A1-20241003-D00000.png
